Common name,Origin,First developed,Comment,Use
Lady Alice,US,1979,"Medium-sized, roundish oblate with thin yellow-green skin with an orange blush and bright red stripes. Crisp yellowish-white flesh is sweet with hints of honey and almond. Don Emmons purchased a neglected orchard of Red Delicious near Gleed, Washington, in 1978. While cultivating between trees, a disc from the plow hit the base of a tree. The injury caused a new shoot to grow from the rootstock (likely a seedling grown from a pip). The shoot was allowed to grow and bear fruit which Mr. Emmons named for his mother, Alice.[195]",
Lady Henniker,England,1840,"Large, oblong, ribbed. Flesh: Sweet and spicy, firm, rather cooarse textured. H 70, W 73. Use November - January.","Eating, Cooking"
"Lady´s Sweet(syn. Pommeroy, Roa Yon)",US,1860,"Yellowish-green with red flush. W 80, H 70. Stalk 14 mm. Flesh crisp, tender, juicy with a delicious perfumed flavor, very good to best. Use December - May.",Eating
Lady Sudely,England,1849,"A golden yellow apple with 50-100% red flush. W 67-74, H 57-67. Stalk 5-10mm. Flesh: Creamy white, juicy and subacid. Pick mid August. Use August - September",Eating
Lagatorka,Montenegro,,"Yellow with red stripes (90%). W 74, H 60, We 149. Stalk medium. Flesh very juicy, acid, good. Pick early October. Use October - March.",Eating
Lakeland,US,Introduced 1950,A red apple. P Malinda x Unknown.,Eating
Lancaster Greening(syn. Lancaster Pippin),US,1870,"A green apple with russet. Flesh yellow, juicy, pleasant, subacid. Use December - May.",Eating
Landsberger Reinette,Poland,1840,"An excellent apple for eating or cooking. Use from October to December. W 87, H 78, We 130.","Cooking, Eating"
Lane's Prince Albert,England,1841,"Green with orange blush. Makes a good apple crumble for Christmas: peak ripening happens in winter. W 65-85, H 60-70, We 115-200. Stalk 10-20mm. Resistant to scab, very prone to mildew, prone to canker. P Russet Nonpareil x Dumelow´s Seedling. Pick early October. Use December - March.",Cooking
Langeland,Denmark,1800,"H 80, W 64. Prone to canker.",Eating
Langley Pippin,England,,"Medium , tall, conical, brightly striped red. Flesh yellowish, soft and well flavoured. P Cox Orange x Gladstone. Use August.",Eating
Lansingburgh.,Ohio ? US,1810,"Flesh firm, subacid. Use November - May.","Cooking, Eating"
Large Bough see see Sweet Bough,,,,
Late Strawberry(syn. Autumn Strawberry),N.Y. US,1848,"Whitish with red flush. W 79, H 63. Stalk 24 mm. Flesh, yellow, fine, crisp juicy, vinous, subacid, very good. Use October - December.",Eating
Lawver,Kansas ? US,1850,"W 61, H 46. Stalk 15 mm. Biennial. Flesh white, firm, crisp, aromatic, subacid. Stalk medium. Use January - May.",Eating
Laxton´s Advance see Advance,,,,
Laxton´s Early Crimson,England,1908,"H 51-63, W 51-67. Stalk 17 – 21 mm. A green apple flushed with brownish purple. Flesh very sweet, little acidity. P Worcester Pearmain x Gladstone [es]. Pick Early August. Use August.",Eating
Laxton's Epicure agm,United Kingdom,1909,"Aromatic sweet fruit, tendency to biennial habit, bruises easily. H 49-54, W 58-63. Stalk 30–35 mm. Yellow flesh with streaks of red and orange. Pick late August. Use August - September.",Eating
Laxton´s Exquisite see Exquisite,,,,
Laxton´s Favourite,England,1925,"Sweet crisp, juicy flesh.A yellow apple totally flushed and steaked with orange red. Pick late August. Use September - October.",Eating
Laxton's Fortune see 'Fortune',,,,
Laxton´s Herald,England,1906,Yellow skinned flushed almost completely with red stripes. Pick late August. Use September.,Eating
Laxton´s Imperial,England,1926,Yellow with red flush. P Cox Orange x Allington.,Eating
Laxton´s Leader,England,1905,"A small apple. H 46, W 57. P Gladstone x Worcester Pearmain. Pick August. Use August.",Eating
Laxton´s Pearmain,England,1897,"Cellini x Cox Orange Pippin. H 54, W 67.Raised by Laxton brothers.",Eating
Laxton´s Peerless,England,1900,"A large yellow skinned apple with scattered russet. H 72, W 86. Flesh crisp, acid. Pick mid. September. Use September - November.",Eating
Laxton´s Pioneer,England,1934,"Large yellow apple almost completely covered with ared flush and stripes. H 67, W 82. Pick late September. Use October - November.",Eating
Laxton´s Royalty,England,1908,"Yellow with red flush. H 50, W 63. Cox like aroma. Flesh sweet and juicy. P Cox Orange x Court Pendu Plat.",Eating
Laxton's Superb,England,1897,"P: Cellini × Cox's Orange Pippin. Classic old Victorian, British apple. Green with dull red flush. Firm texture, but not very good juice producer. Prone to scab. Biennial. W 65, H 55, We 105. Stalk 10 – 30 mm. Pick October. Use October - March.",Eating
Laxton´s Triumph,England,1902,"Yellow with red flush. H 48, W 60. P King of the Pippins x Cox Orange. Flesh aromatic, sharp. Pick October. Use November - January.",Eating
Laxton´s Victory,England,1926,"A yellow apple with brown flush. H 56, W 64. Flesh sweet and aromatic. Pick early September. Use September - October.",Eating
Lemon Pippin,England or France,1744,"A medium sized apple. Flesh: firm, crisp, and briskly flavoured. A small tree.","Cooking, Eating"
Lewis Incomparable,England,1800,"Greenish yellow with(25-75%) orange-red flush. W 80, H 73. Stalk short. Flesh greenish-white, dry, subacid. Pick early October. Use December - February.","Cooking, Eating, Pie"
Liberty,New York,1978,"Very disease-resistant. Very similar appearance to McIntosh, relatively short storage life in air.",Eating
Limbertwig,US,1800,"W 78, H 65. Stalk 8 mm. Flesh subacid, rich, aromatic. Use March - April.","Cooking, Eating."
Limelight,England,2000,Greensleeves type; abundant cropping and a compact tree. A pale green apple with a smooth finish and occasional pink blush. Crisp flesh and disease resistant tree.,Eating
Linsenhofener Renette,Germany,,"A green apple with red flush. Flesh juicy, subacid. Pick October. Use November - January.",Cooking
Liveland Raspberry (syn. Lowland Raspberry),Livland Governorate,1870,"A white apple with red flush. Flesh very tender, sweet. Pick August.",Eating
Ljutaĉa (syn. Kiseljaĉa),Montenegro,,"A green apple. Russet in stalk cavity. W 69, H 51, We 111. Stalk medium. Flesh creamy green, juicy, subacid. Pick late October. Use December - June.","Eating, Cooking"
Lobo,Canada,1897,"A McIntosh-style apple. P McIntosh x unknown. Yellow with red overclour. W 73, H 67. Pick October. Use October - March.",Eating
Loddington,England,1820,"FCC from RHS in 1877. W 89, H 79. Stalk short. Flesh, soft, juicy, subacid. Pick late September. Use October - December.",Cooking
Lodgemore Nonpareil (syn. Clissold´s Seedling),England,1808,"This is a dessert apple of great excellence. Flesh crisp, greenish, sweet, juicy, very good. Use from February to May.",Eating
Lodi,US,1911,"Fruit pale yellow flushed with deeper yellow. P Montgomery x Yellow Transparent. H 70, W 70. Resistant to scab. Tangy taste. Use July -August.",Eating
London Pippin,England,1580,"Yellow with red flush. W 74, H 53-55. Stalk 15mm. Pick October. Use January - March.","Cooking, Eating, Cider"
London Sweet,US,1860,"A yellow apple. Stalk short. Flesh whitish, juicy, tender, sweet, aromatic, good to very good. Tree vigorous, productive. Use November - February.",Eating
"Longfield,",Russia,1870,"W 83, H 75. Stalk 22 mm. Flesh, greenish, crisp, tender, juicy, subacid, aromatic, good to very good. Use September - October.",Eating
Long Island Russet,US,1820,"Flesh yellowish, dry, sweet. Use October - February",Cider
Longstart,England,1851,"A very excellent culinary apple. H 44, W 51. Stalk 25 mm. Use October - December.",Cooking
Lord Burghley,England,1834,"Small yellow with brown crimson flush, flesh soft, highly aromatic. W 57-67, H 44-61. Stalk 15 – 20 mm. An excellent winter dessert apple. Tree small. Pick mid October. Use Jan-April.",Eating
Lord Derby,England,1862,"Yellowish green apple. W 83, H 70. Stalk 5 – 6 mm. Strong ribbing. P Forester x Woodford. Flesh pale yellow, subacid. likes cooler weather. Pick late September. Use November - December. Subjet to brown rot.",Cooking
Lord Grosvenor,England,1872,"Large conical, pale creamy yellow, cooks to a white froth. Enormous cropper, must be thinned. H 64-82, W 74-88. Stalk 25–28 mm. Pick mid August. Use August - September.",Cooking
Lord Hindlip,England,1896,"Late, high-quality dessert apple for use in December to March. W 64-73, H 73-77. Stalk 15 – 20 mm. Flesh crisp, white, juicy, subacid. First Class Certificate from RHS in 1898. Pick early-mid October. Use December - March.",Eating
Lord Kitchener,England,1900,"A green apple with red flush, smaller than Peasgood Nonsuch. P Peasgood Nonsuch x unknown.","Eating, Cooking, Baking"
Lord Lambourne agm,England,1907,"James Grieve apple × Worcester Pearmain. Round shape. Orange flush with hint of russet. W 64, H 51. Stalk 15 – 20 mm. Strong acid flavour. Good for domestic cultivation. Award of Merit from RHS in 1923. Pick late September. Use September - November.",Eating
Lord Raglan,England,,An excellent cooking apple. Yellow with red flush. Use March - April.,Cooking.
Lord Suffield,England,1836,"A very large cooking apple for use in August–September. W 76-83, H 75. Stalk short - medium. Green apple, no flush. This variety is often subject to canker and rotting on the tree. Pick mid August. Use Aug. - Sep.",Cooking
Loudon Pippin,Va. US,1870,"A large oblate apple., yellow with red flush. Stalk short. Flesh yellowish, tender, juicy, subacid, good to very good.. Use December - February.",Eating
Lowell,US,1848,"W 83, H 75. Stalk 22 mm. Flesh greenish-yellow, juicy, subacid, aromatic, good to very good. Use August - September.","Eating, Cooking, Drying"
Lucombe´s Seedling,England,1831,"A culinary apple of first rate quality. H 69, W 88. Stalk short and thick. Flesh white, juicy, pleasantly flovoured. Use October - January.",Cooking
Luiken,Germany or France,1900,A yellow apple with red flush. Pick September. Use September - November,Cooking
Luisenapfel(syn. Prinzessin Luise),Canada,1860,"W 70, H 66, We 110-200. Stalk 15 – 22 mm. Pick October. Use October - January.","Cooking, Eating"
Lujanca,Moldova,,"Yellow with purple to red stripes (90%). Flesh firm juicy, subacid. Biennial. Thinning is necassary. W 62, H 74, We 75-90. Stalk 20 mm. Disease resistant. Pick late September. Use October - December.","Eating, Cooking"
Lundbytorp,Denmark,1900,"A green apple with red overcolour. H 68, W 74.",Eating
Lunow,Germany,1920,"Green apple with red flush. H 58, W 70, We 115. Picking October. Use January - April. Biennal",Cooking
Luxemburger Reinette(syn. Reinette des Vergers),?,1850,A green apple with red flush. W 71 H 55. Stalk 12 mm. Use February - July.,"Eating, Cooking"
Maayan,Israel,Introduced 1967,"P (Calville St. Sauver x Damascus) x Delicious. Flesh juicy, sweet, acid.",Eating
Mabbott´s Pearmain,England,1883,"Yellow with red flush. H 56, W 56. Stalk very slender. Flesh juicy, sweet , highly flavoured. Use October - December.",Eating
Maclean´s Favourite,England,1820,"A very excellent dessert apple. H 49, W 62. Pick early October. Use October - January.",
Macoun,New York,1909,"Cold-tolerant. Crunchy. P McIntosh x Jersey Black. Does very well in salads. W 71, H61, We 100-160. Stalk 10-15mm",Eating
Madresfield Court,England,1915,"AM from RHS in 1915. Tree is a shy cropper. W 80, H 81. Stalk medium. Flesh greenish-white, juicy, sweet, aromatic. Pick late September. Use October - December.",Eating
Maglemer,Denmark,1800,"Yellow with red stripes. W 62, H 58. Pick late September. Use November - January.",Eating
Magog,Vermont US,1876,"W 80, H 75. Stalk 19 mm. Flesh firm, juicy, aromatic, subacid, good. Use October - January.",Eating
Maiden's Blush,US,1817,"W 86, H 69. Stalk 19 mm. A thin-skinned, flattened apple. Pale yellow-green skin has a telltale crimson blush on the side that faced the sun. Flesh white, crisp, very juicy, subacid, good. Susceptible to scab. Heavy annual bearer. Good cooker. Excellent variety for drying because the flesh remains white and bright. Use September - November.","Cooking, (Eating)"
Maidstone Favourite,England,1913,"Flat, even, most delightfully striped with carmine. P Alexander x Beauty of Bath. Flesh crisp, sweet and aromatic. H 48, W 54. AGM from RHS in 1913.",Eating
Maikki,Finland,Introduced 1980,"A red apple. P Melba x Huvitus. Flesh white, sweet, subacid, aromatic. Pick late august.",Eating
Make,Finland,Introduced 1980,"A yellow apple with red flush. Flesh juicy, sweet, subacid. P Atlas x Gul Höstkalville. Pick mid September.",Eating
Malinda,US,1860,"Small, conical with sheep's nose; deep, rich yellow with red spots possible. Dry, dense, substantive flesh; mild, pear-like flavour. Tree good in climates with heavy snowfall.","Cooking, Eating"
Malling Kent,England,1949,"Parentage Cox´s Orange x Jonathan. Size H 58-67, W 64-67. Good keeping properties.",Eating
Malmbergs Gylling,Sweden,1900,"W 75, H 58. Stalk short to medium. Flesh juicy, subacid, fair to good. Pick September. Use October - November.",Cooking
Mangum,Southern US,1850,"Flesh yellow, tender, juicy, subacid. Use October - November.",Eating
Manitoba,Canada,Introduced 1931,"A yellow apple. P Duchess of Oldenburg x unknown. Flesh white, crisp, juicy, sicy flavor, subacid. Use November - February.",Eating
Manitoba Spy,Canada,Introduced 1931,Large red. P Patten Greening x unknown. Use November - February,Cooking
Manks Codlin,Isle of Man,1815,"Pale yellow medium-sized fruit with occasional flush of red. H 50, W 55. Stalk 15 mm. Hardy. Heavy producing. Use November - December.",Cooking
Mann,US,1872,"W 84, H 65. Stalk 19 mm. Biennial. Flesh yellowish, juicy, crisp, subacid, fair to good. Use December - April.",Eating
Mannington´s Pearmain,England,1770,"Flesh yellow soft juicy. Old dessert apple, of no great merit. W 67-69 H 58-66. Stem long. Pick early October. Use November - March.","Eating, Cooking"
Mantet,Canada,1928,"Yellow apple with orange overcolour. P Tetofsky x unknown. H 75, W 75. Pick August. Use August. Does not do well in warm climates.",Eating
Margaret Pratt,Canada,Introduced 1938,Resembles Red Astrakan. P unknown.,Cooking
Margil,London ?,1750,"Highly flavoured apple held in very high esteem by connoisseurs. H 51-60 W 54-66. Stalk 13 – 18 mm. Slightly conical in shape, dull green skin with an orange-red blush, some russeting. The yellow flesh is firm, crisp, sugary, and as pomologist Robert Hogg said, ""with a powerful and delicious aromatic flavour."" The very small tree is weak and slender and bears light crops. Because it flowers early, it is susceptible to frost damage. Pick October. It keeps well. Introduced to Brompton Park Nursery from Versailles by Henry Wise in the early 18th century. Pick early October. Use October - January.",Eating
Martin 1.(syn. McLellan),Conn. US,1870,"Yellow with red flush. W 73, H 56. Stalk 16 mm. Bienniel. Flesh, white, juicy, vinous, sweet, very good. Use December - March.",Eating
Martin 2.,Louisiana,Introduced 1943,Yellow with red flush. P unknown,Eating
Mattamusket,North Carolina US,1870,"Flesh whitish yellow, crisp, subacid, good. Tree vigorous, productive. Use December - March.",Eating
"Mauss Reinette(syn. Love Beauty, Reinette de Multhaupt, Svanetorpsäpple)",Germany,1874,"A yellow apple with red flush. W 62, H 52. Flesh juicy, subacid. Pick October. Use November - December.",Eating
May Queen,England,1800,"Large, oblate, often russetted yellow apple with bright red blush and stripes. Crisp, greenish-yellow flesh, rich, nutty flavour. Similar texture to Ribston Pippin, and in a good year, its equal in flavour. In bad years it can be rather dry and harsh. Excellent keeper. Heavy annual bearer. AGM from RHS in 1892 H 51, W 62. Use January - May.",Eating
"McAfee(syn. McAfee Nonsuch, McAfee Red)",US,1870,"Once thought to be gone forever, rediscovered in 2018 in Idaho.[214] Flesh whitish, crisp, subacid, good to very good. Stalk short. Tree very prolific and will produce huge crops of apples when mature. Use December - March.",Eating
McIntosh,Canada,1811,"A popular, cold-tolerant eating apple in North America. Flesh white, very tender, juicy, subacid, aromatic, very good. Use October - December.","Cooking (applesauce), Eating, Pies"
Mc Intosh Rogers(syn. Red McIntosh),US,1930,"A red mutant of McIntosh. W 70, H 67. Stalk 10 – 20 mm. Pick mid September. Use October - December.","Cooking, Eating."
McLellan see Martin 1.,,,,
Mc Mahon,Wis. US,1860,"W 94, H 76,. Stalk 29 mm. Flesh white, tender, juicy, subacid, fair to good. Use October - January.",Eating
Mecklemburger Königsapfel(syn. Roter Brasil),Germany,1773,W 65 H 60. Pick October. Use December - March,"Cooking, Eating"
Medina,New York,Introduced 1922,P Deacon Jones x Delicious.,Eating
"Mela Carlo(syn. Mela Carla, Male Carle)",Italy,1817,"A dessert apple of the most exquisite flavour. H 68, W 68. Flesh is as melting as that of the Doyenné pear. Pick October. Use December - March.",Eating
Melba,Canada,1898,"Green apple with red overcolour. W 73, H 61.",Eating
Melon American,Connecticut,1800,"A first rate dessert apple. W 68-86, H 61-70. Stalk 18–39 mm. Flesh juicy, sweet and vinous. Use December.",Eating
"Melon German(syn. Melonenapfel, Flaschapfel, Nonnetitte, Prinzenapfel, Pomme de Prince)",Germany,1788,"An oblong apple. Flesh subacid with a pleasant aroma. W 69, H 79. Stalk 12–25 mm. Pick October. Use December - March.",Eating
Melrose 1. (syn. White Melrose),Scotland,1800,"H 76, W 82. Flesh marrow like, with a sweet and sub-acid flavour. Use October - January.","Eating, Cooking"
Melrose 2.,US,1937,P Jonathan x Delicious. Flavour improves in storage. Coarse flesh. Biennial. Pick October. Use December - April.,Eating
Mere de Menage (syn. Bellefleur de France),France or Ukraine,1800,"Large flat-round apple. H 67, W 77-86. Stalk: Very stout(4-5mm) and short(10-15mm).",Cooking
Merton Beauty,England,1932,"W 56-63, H 45-51. Stalk 20–27 mm. P Ellisons Orange x Cox Orange. A greenish-yellow apple flushed with red. Pick early September. Use September - October.",Eating
Merton Charm,England,1962,"H 47-51, W 57. Stalk 10 – 15 mm. P McIntosh x Cox Orange. AM from RHS in 1960. Pick September. Semi-weeping habit, heavy crops of small fruit unless thinned. Pick mid September. Use September - October.",Eating
Merton Delight,England,Introduced 1953,"P Cox Orange x Golden Russet. Flesh, tender, crisp sweet to subacid.",Eating
Merton Joy,England,1946,"W 63, H 51. P (Cox Orange x Sturmer Pippin) x Cox Orange. Flesh soft, sweet, aromatic.",Eating
Merton Knave,England,1948,"Greenish yellow with red flush. P Laxton´s Early Crimson x Epicure. W 55 - 70, H 48-62. Stalk 12 – 30 mm. Flesh faily juicy with strong aroma. Pick mid September. Use September.",Eating
Merton Pippin,England,Introduced 1948,A large apple. P Cox Orange x Sturmer Pippin. Flesh subacid.,Eating
Merton Profilic,England,1914,"W 61, H 50. Flesh sweet, subacid. P Northern Greening x Cox Orange.",Eating
Merton Russet,England,1921,"W 57, H 54. P Sturmer Pippin x Cox Orange. Flesh sweet, subacid.",Eating
Merton Worcester,England,1956,"W 58, H 55. Stalk 12 – 20 mm. P Cox's Orange Pippin × Worcester Pearmain. AM from RHS in 1950. Developed at John Innes Institute. Pick early September. Use September - October.",Eating
Metzger,Washington,1938,P Delicious x Unknown. Pick early August.,Eating
Mexico,US,1850,"Round medium size apple. Crimson red. Stalk long to medium. Flesh white, juicy, subacid. Use August - September.",Eating
Michaelmas Red,England,1929,"W 64, H 56. P McIntosh x Worcester Pearmain. Flesh soft, juicy, sweet, vinous. Pick mid September. Use October - December.",Eating
Michal,Israel,Introduced 1967,"P (Calville St. Sauveur x Damascus) x Delicious. Flesh juicy, sweet, subacid. Tree productive.",Eating
Middle Green,England,1903,"Yellow streaked with red. W 63, H 51. AM from RHS in 1903. Flesh, soft, yellowish, sweet, good. Use December - February.",Eating
Milam,US,1820,"W 69, H 62. Stalk 20 mm. Flesh white, tender, crisp, juicy, subacid or sweet. Use December - January.",Eating
Miller's Seedling,England,1848,"Sweet apple. H 44-54, W 60-63. Stalk 18–26 mm. Flesh white, juicy, sweet. AM from RHS in 1906. Pick mid August. Use August - September. Tree prefers chalky soils.",Eating
Millicent Barnes,England,1903,"A yellow apple flushed with red. W 69, H 63. Flesh lacks flavour. Pick mid September. Use October - December.",
Milton,New York,Introduced 1923,P Yellow Transparent x McIntosh.,Eating
Milwaukee,Wis. US,1899,"W 80, H 65. Stalk 18 mm. Flesh whitish, firm, crisp, tender, juicy, subacid, fair to good. Use October - January.",Cooking
Minister,US,1850,"Tree healthy, vigorous, early bearer. Flesh, yellowish, juicy, acid. Use September - October.",Cooking
Mio,Sweden,1932,"Yellow with red flush. W 62, H 53. P Worcester pearmain x Oranie. Pick September. Use September - October.",Eating
Miss Baron,England,1885,"A golden-yellow apple. Tree vigorous. Flesh yellow, tender, subacid. Use October - January.",Cooking
Missouri Pippin,US,1840,"Tree vigorous. Flesh yellow, firm, brisk, subacid, fair to good. Use October - January.",Eating
Miss Phillimore,England,Introduced 1900,"Yellow with red flush. P Gladstone x Lord Burghley. Flesh tender, sweet. AM from RHS in 1899. Use October.",Eating
Mollie's Delicious,US,1966,"Conical shape, pinkish red colour. P (Golden Delicious x Edgewood) x (Gravenstein x Close). Flesh crisp, sweet, good. Lasts long in refrigeration. Good aftertaste.",Eating
Monarch,England,1888,"Large round-conical apple. Flesh: Coarse-textured, juicy, tender sharp. Biennial tendency. H 58-70, W 73-80. Pick mid September. Use November - January.",Cooking
Monmouth,N.J. US,1848,"W 78-85, H 65-68. Stalk 13–19 mm. Biennial. Flesh yellowish, firm, grisp, tender, juicy, aromatic, good to very good. Use December - March.",Eating
Monroe,Geneva New York,Introduced 1949,A red apple. P Jonathan x Rome Beauty.,Eating
Moore Extra,US,1870,"Flesh yellow, juicy, tender, subacid, very good. Stalk short. Tree vigorous, not an early bearer. Use December - March.",Eating.
Moore´s Sweeting see Black Sweet,,,,
Morden 347,Canada,Introduced 1941,"P Martha x Dolgo. Flesh orange-yellow, firm, crisp, juicy. Tree hardy, vigorous. Pick late August.","Eating, Cooking"
Morden 352,Manitoba Canada,Introduced 1945,"P Dolgo x Haralson. Flesh white, firm, crisp, juicy, sweet, subacid. Tree very hardy. Pick late September.","Eating, Cooking"
Mother (American Mother) ,US,1840,"Medium-sized yellow apple with crimson stripes and darker red blush.H 60-80, W 64-77. Stalk 13 – 23 mm. Flesh fine, tender, juicy, mild subacid, aromatic, very good to best. The fruit has a balsamic aroma with a suggestion of vanilla. Cropping can be a bit irregular, if not completely biennial. A late flowering variety that avoids frost. Some resistance to scab. . Pick late September. Use October - December.",Eating
"Munson(syn. Meachem Sweet, Rag Apple)",Massachusetts ? US,1849,"W 68, H 55. Stalk 14 mm. Flesh yellowish, tender, juicy, sweet, good to very good. Use late September - December.",Eating
"Munson Sweet(syn. Orange Sweet, Ray Apple, Meachem Sweet)",US,1850,"W 74, H 59. Stalk 18 mm. Tree vigorous, productive, a regular bearer. Flesh juicy, very sweet. Use September - February.",Baking
Murray,Canada,1980,,
Muscadet de Dieppe,France,1750,Commonly used in making Calvados brandy. Yellowish green apple with red striping or reddish pink blush. Too tart to eat.,Cider
Musch,Belgium,1872,Pick September. Use November - December.,Eating
Musk see Carlisle Codlin,,,,
Muster,US,1850,"Flesh yellow, juicy, subacid, aromatic. Use November - January.","Cooking, Eating"
Mutsu,Japan,1930,"Known as ""Crispin"" in the United Kingdom. W 73-77, H 70-73. Stalk 22–30 mm. P Golden Delicious × Indo. Pick mid October. Use December - February.",Eating
My Jewel,California,1940,"Originated as a chance seedling, a cross between Winter Banana and Golden Delicious.[224] Yellow colour. October harvest. Still used in cider blends by Martinelli's)[225]","Eating, Cooking, Cider"
Nanny,England,1842,"A dessert apple of excellent quality. Flesh greenish yellow, tender. H 69, W 76. Pick September. Use October.",Eating
Nathusius Taubenapfel,Germany,1824,"A conical apple. W 67, H 62. Stalk 11 mm. Use December - April",Eating
Nelson Codlin,England,1850,Large yellow. A first rate culinary apple. Use September - January.,Cooking
Newell-Kimzey (Airlie Red Flesh),Oregon,1961,"A medium to medium -large, conic apple. Light yellow-green skin with white dots, occasionally with red-orange blush on one side.Light pink to deep red flesh is crisp, sweet and moderately tart.","Eating, pies"
Newfane,US,Introduced 1927,"P Deacon Jones x Delicious. Flesh, tender, juicy. Ripens with Delicious.",Eating
Newton Wonder,England,1887,"A yellow apple flushed with red. FCC from RHS in 1887. W 89-92, H 70-73. Stalk 10–15 mm. Medium round and even, beautifully striped and flushed. Very good cooker. Cooks to juicy, brisk, well-flavoured purée, but with less acidity than Bramley. Prolific bearer, can be harvested in winter. Pick mid October. Use November - March.",Cooking.
Newtown Delicious,US,1937,"P Yellow Newtown x Delicious. Tree vigorous, heavy bearer.",Cooking (Eating)
Newtown Pippin (Albemarle Pippin),New York,1759,"Best known colonial apple in North America. Known favourite of Ben Franklin and Thomas Jefferson. Medium to large, often irregularly shaped apple. Greenish-yellow, dotted, often russeted. H 65, W 78. Stalk short. Tough skin, flesh cream to greenish-white, very quickly browning. Flesh yellow, firm, crisp, moderately fine-grained, aromatic, subacid, best. Biennial habit, slow to come into bearing. Good keeper, improves with storage. Prized for its clear juice in cider making. Two sports, Green Newtown Pippin and Yellow Newtown Pippin, differ only in skin colour. Pick late October. Use November - March.","Cooking, Eating, Cider"
Newtown Spitzenburgh,US,1817,"W77, H 59. Stalk 17 mm. Flesh yellow, crisp, tender, vinous, subacid. Use October - February.",Eating
"Nickajack(syn. Caroline, Berry, Aberdeen, Trenham, Alleghany, Chaltram Pippin)",United States,1810,"Native American origin, believed to be originally grown by Cherokee along banks of Nickajack Creek. Only grown in Appalachians, favourite of later settlers for desserts. Rusty red colour with sweet, crisp taste. W 84, H 67. Stalk 12 mm. Use December - April.","Cooking, Eating"
Nonpareil,France,1500,"A yellowish green apple. W 58-65, H 48-52. Stalk 18–28 mm. Pick mid October. Use December - March.",Eating
Nordhausen(syn. Schöner von Nordhausen),Germany,1892,"W 69, H 57, We 130. Stalk 6 – 13 mm. Pick October. Use January - April.",Cooking
Norfolk Beauty,England,1902,"Pale cream in colour when cooked. W 80-87, H 67-71. Stalk 8 – 10 mm. P Harvey x Hawthornden. FCC from RHS in 1902. Pick early September. Use October - December.",Cooking
"Norfolk Beefing(syn. Catshead Beaufin, Taliesin)",England,1800,H 63 W 78. Stalk short. Flesh with a brisk and pleasant flavour. Pick October. Use January - June.,Baking
Norfolk Pippin see Adams Pearmain,,,,
Norfolk Royal,England,1908,"A truncate conical apple. Flesh crisp, juicy and well-flavoured. H 67, W 70. Stalk 8 – 15 mm. Pick late September. Use September - February.",Eating
Norman´s Pippin,Belgium,1900,"Conical grey green with russet, flesh mellow, of fine flavour. AGM from RHS in 1900. H 51, W 63. Use Jan. - March.",Eating
Northern Greening,England,1826,"Medium, oval, conical, pea green to pale yellow, with red stripes and faint brown flush. Flesh tender, greenish, acid. Growth vigorous. Pick mid October. Use December - April.",Cooking
Northern Spy,New York,1800,"Tart, firm, stores very well. Tree large, vigorous. Flesh yellow firm, tender, crisp, juicy, aromatic, subacid, very good to best. Noted for being excellent choice for making American-style apple pie. H 72, W 82. Sometimes used as a rootstock. Pick mid October. Use November - March.","Cider, Cooking, Eating"
North Western Greening,US,1872,"W 86, H 79. Stalk 15mm. Biennial. Flesh yellowish, crisp, firm, juicy, subacid, fair to good. Use January - April.",Cooking (Eating)
Nova Easygro,Canada,1975,,
Nu-Jon,US,Introduced 1949,P unknown. A large red striped apple.,
Nutmeg Pippin,UK,1920,"A conical apple W 54, H 50. Flesh juicy, nutty flavour. Pick late September. Use December - March.",Eating
Nyack,US,1850,"Flesh white, juicy, acid, rich. Use December.",Eating
Oakland,US,1883,"W 72, H 58. Stalk 22 mm. Biennial. Flesh white, tender, juicy, sweet, crisp, good. Use November - February.",Eating
Oberdieck´s Taubenapfel,Germany,1860,"A conical apple. W 57, H 60. Stalk 12 mm. Use December -February.",Eating
Ogden,US,Introduced 1928,"P Zusoff x McIntosh. Flesh white, aromatic, sweet.",Baking
Ohio Nonpareil,US,1853,"W 95, H 73. Stalk 10 mm. Flesh yellow, juicy, subacid. Tree vigorous, healthy. Use September - December.","Cooking, Eating, Drying"
Ohio Pippin,US,1867,"W 99, H 74. Stalk 13 mm. Tree healthy, vigorous. Flesh Yellowish, tender, juicy, acid to subacid. Use December - January.",Cooking
Oldenburg,Germany,1897,A yellow - green apple with red flush. Pick September. Use October - December.,Eating
Oldenburg 2 see Duchess of Oldenburg,,,,
Oliver,Arkansas,1873,"W 69, H 57. Stalk 10 mm. Flesh whitish, crisp, tender, juicy, subacid, swee, good to very good. Use December - March.",Eating
Ontario,US,1874,A large apple W 75 H 58. We 191. greenish-yellow with purple flush. P Wagener x Northern Spy. High in Vitamin C. Pick mid October. Use November - April.,Eating
Opal,Czech Republic,1999,"Firm, fine to medium grained, medium juicy, full flavoured, sweet, mild-subacid. Golden Delicious × Topaz.[234]",Eating
Opalescent,US,1899,"W 98, H 92. Stalk 20 mm. Flesh juicy, subacid, aromatic, good to very good. Use November - February.",Eating
Orin,Japan,1952,Sweet and distinctive fragrance. Notes of pineapple. Medium hardness. Golden Delicious × Indo.,Eating
Oriole,US,Introduced 1949,"P unknown. Flesh tender, juicy, aromatic, subacid.","Cooking, Eating"
